"Series Code","Indicator Name",,,,"Source"
"BM.GSR.TRVL.ZS","Travel services (% of service imports, BoP)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
"BM.KLT.DINV.CD.WD","Foreign direct investment, net outflows (BoP, current US$)",,,,"International Monetary Fund, Balance of Payments database, supplemented by data from the United Nations Conference on Trade and Development and official national sources."
"BM.KLT.DINV.WD.GD.ZS","Foreign direct investment, net outflows (% of GDP)",,,,"International Monetary Fund, Balance of Payments database, supplemented by data from the United Nations Conference on Trade and Development and official national sources."
"BM.TRF.PRVT.CD","Secondary income, other sectors, payments (BoP, current US$)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
"BM.TRF.PWKR.CD.DT","Personal remittances, paid (current US$)",,,,"World Bank staff estimates based on IMF balance of payments data."
"BN.CAB.XOKA.CD","Current account balance (BoP, current US$)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
"BN.CAB.XOKA.GD.ZS","Current account balance (% of GDP)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates."
"BN.FIN.TOTL.CD","Net financial account (BoP, current US$)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
"BN.GSR.FCTY.CD","Net primary income (BoP, current US$)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
"BN.GSR.GNFS.CD","Net trade in goods and services (BoP, current US$)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
"BN.GSR.MRCH.CD","Net trade in goods (BoP, current US$)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
"BN.KAC.EOMS.CD","Net errors and omissions (BoP, current US$)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
"BN.KLT.DINV.CD","Foreign direct investment, net (BoP, current US$)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
"BN.KLT.PTXL.CD","Portfolio Investment, net (BoP, current US$)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
"BN.RES.INCL.CD","Reserves and related items (BoP, current US$)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
"BN.TRF.CURR.CD","Net secondary income (BoP, current US$)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
"BN.TRF.KOGT.CD","Net capital account (BoP, current US$)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
"BX.GRT.EXTA.CD.WD","Grants, excluding technical cooperation (BoP, current US$)",,,,"World Bank, International Debt Statistics, and OECD."
"BX.GRT.TECH.CD.WD","Technical cooperation grants (BoP, current US$)",,,,"World Bank, International Debt Statistics, and OECD."
"BX.GSR.CCIS.CD","ICT service exports (BoP, current US$)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
"BX.GSR.CCIS.ZS","ICT service exports (% of service exports, BoP)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
"BX.GSR.CMCP.ZS","Communications, computer, etc. (% of service exports, BoP)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
"BX.GSR.FCTY.CD","Primary income receipts (BoP, current US$)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
"BX.GSR.GNFS.CD","Exports of goods and services (BoP, current US$)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
"BX.GSR.INSF.ZS","Insurance and financial services (% of service exports, BoP)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
"BX.GSR.MRCH.CD","Goods exports (BoP, current US$)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
"BX.GSR.NFSV.CD","Service exports (BoP, current US$)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
"BX.GSR.ROYL.CD","Charges for the use of intellectual property, receipts (BoP, current US$)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
"BX.GSR.TOTL.CD","Exports of goods, services and primary income (BoP, current US$)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
"BX.GSR.TRAN.ZS","Transport services (% of service exports, BoP)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
"BX.GSR.TRVL.ZS","Travel services (% of service exports, BoP)",,,,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
