"Series Code","Indicator Name",,,,"Source"
"DC.DAC.ESPL.CD","Net bilateral aid flows from DAC donors, Spain (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.FINL.CD","Net bilateral aid flows from DAC donors, Finland (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.FRAL.CD","Net bilateral aid flows from DAC donors, France (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.GBRL.CD","Net bilateral aid flows from DAC donors, United Kingdom (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.GRCL.CD","Net bilateral aid flows from DAC donors, Greece (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.IRLL.CD","Net bilateral aid flows from DAC donors, Ireland (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.ISLL.CD","Net bilateral aid flows from DAC donors, Iceland (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.ITAL.CD","Net bilateral aid flows from DAC donors, Italy (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.JPNL.CD","Net bilateral aid flows from DAC donors, Japan (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.KORL.CD","Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.LUXL.CD","Net bilateral aid flows from DAC donors, Luxembourg (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.NLDL.CD","Net bilateral aid flows from DAC donors, Netherlands (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.NORL.CD","Net bilateral aid flows from DAC donors, Norway (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
